# Testi ufficiali delle carte letti nel gioco il 25/09/2026 (Demo 2.0, patch demo del 21/09): collezione con le carte non possedute.
# Formato: Nome carta<TAB>testo, \n = a capo nella carta; statistiche nella notazione del sito (⚔️ ❤️); le carte senza testo hanno solo il nome.
Itsy Bitsy Spider
Bagheera	Alla rivelazione: Se sono su uno spazio centrale, ottengo +2⚔️/+2❤️.
Bullseye	Infliggi 3 danni a QUALSIASI personaggio.
Defense Matrix	Dai Scudo a QUALSIASI personaggio.
Freeze!	Stordisci QUALSIASI personaggio.
Mummy	Rinascita
Poison Apple	Dai Tocco letale a QUALSIASI personaggio.
Reinforcements	Evoca un Merry Man [1⚔️/1❤️] su due spazi casuali.
Stroke of Midnight	Riporta QUALSIASI personaggio nella mano del suo proprietario.
Thumbelina
Toto	Dopo che un nemico viene giocato qui, mi muovo in un altro luogo e ottengo +1⚔️.
Trash for Treasure	Distruggi un alleato per pescare 2 carte.
Twister Toss	Muovi un alleato.
Animate Object	Scegli uno spazio. Evoca una Broomstick lì.
Axe Throw	Infliggi 4 danni a QUALSIASI personaggio.
Baby Bear	Quando un nemico danneggia la tua barriera qui, infliggi 1 danno a quel nemico.\nAlla morte: Aggiungi Papa Bear [4⚔️/4❤️] alla tua mano.
Banshee	Alla morte: Gli alleati ottengono +1⚔️.
Basilisk	Tocco letale
Billy	Alla morte: Infliggi 2 danni a un nemico casuale qui.
Card Soldier	Dopo che mi muovo, evoca una mia copia sul mio spazio precedente.
Don Quixote	Difensore\nI nemici qui hanno Difensore.
Esmeralda	Quando vengo scartato, dai Scudo a un alleato casuale.
First Aid	Cura 6 danni a QUALSIASI personaggio o barriera.
Huck Finn
Jack-in-the-Box	Alla morte: Infliggi 2 danni alla barriera avversaria qui.
Lady of the Lake	Quando giochi un personaggio Buono, dagli Difensore.
Lightning Strike	Infliggi 3 danni a QUALSIASI personaggio o barriera.
Merlin's Prophecy	Ripeti la prossima magia che giochi in questo round.
Mind Palace	Pesca 2 carte.
Morgiana	Impedisci che TUTTE le abilità Alla rivelazione avvengano qui.
Musketeer	Primo colpo
Piglet	Alla rivelazione: Dai +1⚔️ agli altri alleati qui.
Roo	Muovere
Rumple	Alla rivelazione: Ottieni +1 mana nel prossimo round.
Sandman	Le tue magie costano 1 in meno.
Scarecrow	Alla rivelazione: Pesca una carta.
Shahrazad	Quando una carta entra nella tua mano, cura 1 danno alla tua barriera qui.
